-20, 98
-35, 93
-56, 134
-59, 137
-63, 107
13, 97
69, 100
30, 95
-24, 149
1, 154
-70, 94
-71, 38
9, 5
39, 30
35, 20
124, 62
53, 117
-3, 178
18, 177
-23, 147
-16, 152
-20, 153
-44, 137
-13, 42
-2, -6
-5, 71
-11, 130
20, 145
49, 124
26, 27
-65, 42
-111, 60
-58, 63
-1, 120
-45, 125
-70, 100
-28, 96
32, 79
29, 63
3, 64
24, 157
71, 198
34, 195
-1, 208
14, 188
17, 112
7, 120
-4, 175
-26, 174
8, 158
-14, 158
-79, 205
-36, 272
56, 260
44, 159
-77, 118
-31, 102
34, 87
1, 130
75, 193
126, 161
26, 183
-88, 218
-49, 201
-7, 93
-87, 17
-86, 115
-38, 245
-48, 285
-22, 243
54, 209
32, 160
-47, 137
-121, 208
-110, 215
-59, 161
-31, 148
11, 138
72, 101
72, 133
53, 164
-25, 78
-108, 53
-112, 143
-84, 225
-3, 190
123, 116
133, 167
13, 172
-73, 102
-50, 149
22, 218
73, 187
53, 127
19, 125
-41, 207
-27, 251
37, 188
30, 106
0, 51
-8, 87
16, 72
50, 102
50, 127
-3, 135
-15, 203
-38, 204
-56, 132
-57, 93
-67, 113
-58, 175
18, 184
105, 173
60, 143
-21, 140
-62, 115
-62, 110
-34, 44
41, 36
-42, 184
-98, 172
1, 137
71, 142
13, 123
3, 107
69, 158
72, 119
83, 70
88, 129
7, 142
-25, 66
-67, 119
-65, 141
39, 156
18, 191
-92, 143
-8, 109
121, 114
85, 165
-5, 144
-85, 112
-91, 58
-36, 134
43, 84
27, 12
32, 103
109, 141
84, 62
4, 144
-40, 187
-14, 128
-41, 136
-84, 211
-33, 185
-14, 131
-1, 158
27, 162
17, 149
15, 108
-26, 47
11, 63
63, 30
37, 17
-36, 54
-102, 108
-74, 140
27, 56
84, -36
14, 39
-32, 144
-48, 211
-28, 203
-41, 243
-10, 164
57, 88
28, 158
-23, 196
-41, 146
-30, 134
-31, 219
-115, 185
-132, 80
-87, 103
-52, 135
-47, 46
-57, -54
-49, 28
-33, 137
2, 94
61, 91
84, 170
35, 170
-66, 101
-59, 90
-16, 100
-47, 60
-107, 32
-141, 125
-151, 173
-81, 137
-94, 70
-129, 50
-58, 56
6, 54
65, 50
156, 34
51, 44
-69, 124
-31, 76
-23, -2
-26, 89
4, 207
-4, 208
-17, 147
-82, 116
-87, 153
-48, 249
-46, 220
1, 71
30, 34
42, 109
52, 111
3, 110
-31, 151
-33, 123
8, 119
23, 113
18, 77
-20, 49
10, 44
14, 50
-71, 81
-130, 108
-56, 57
23, 30
-20, 76
-28, 90
10, 57
5, 37
-73, 79
-96, 124
-116, 156
-113, 225
-49, 188
-37, 103
-13, 96
9, 78
-54, 105
-85, 187
-44, 155
-59, 111
-67, 128
-46, 108
-19, 12
-29, 29
-127, 104
-120, 130
-26, 67
27, 19
44, 95
4, 129
10, 107
64, -36
89, -60
48, 26
-17, 51
-4, 103
-50, 132
-121, 133
-112, 136
23, 119
112, 33
25, 0
-64, 64
-82, 118
-97, 103
-113, 125
-47, 205
19, 233
92, 213
146, 110
15, 35
-68, 35
-27, 102
102, 101
125, 79
-10, 72
-65, 107
-79, 164
-19, 207
83, 162
38, 78
-23, 69
-47, 82
26, 66
151, 34
157, 38
28, 63
-53, 115
-83, 107
-41, 92
-18, 103
28, 72
67, 148
26, 177
-23, 74
-67, 76
-57, 104
-67, 118
-49, 156
-74, 141
-39, 110
-1, 153
-15, 236
-75, 235
-83, 111
-47, 16
-49, 62
-82, 95
-65, 140
-1, 186
22, 193
-40, 192
-90, 135
-59, 157
-51, 264
-54, 281
-36, 164
-65, 46
-85, 79
2, 114
122, 132
73, 172
-29, 154
-74, 135
-130, 102
-129, 52
-29, 87
24, 99
18, 113
6, 161
30, 176
74, 126
-19, 102
-103, 152
-97, 213
-58, 174
-100, 92
-112, 55
14, 92
80, 144
28, 53
-15, 64
-8, 157
-35, 130
-2, 99
-15, 120
-43, 108
41, 81
132, 42
37, 79
-44, 110
56, 58
83, 58
8, 40
38, 68
35, 54
-12, 68
59, 114
31, 118
-15, 129
29, 136
21, 93
-53, 83
-123, 95
-64, 66
47, 131
105, 167
87, 184
